,,,,Check this out !!!,,
Broccoli,Lemon Balm,TRUE,,,,
Brussell Sprouts,Lemon Balm,TRUE,,,,
Cabbages,Lemon Balm,TRUE,,,,
Chamomile,Lemon Balm,TRUE,,,,
Carrots,Lemon Balm,TRUE,,,,
Cauliflower,Lemon Balm,TRUE,,,,
Celery,Lemon Balm,TRUE,,,,
Cherry,Lemon Balm,FALSE,,,,
Chervil,Lemon Balm,FALSE,,,,
Chives,Lemon Balm,TRUE,,,,
Coriander,Lemon Balm,TRUE,,,,
Corn,Lemon Balm,TRUE,,,,
Cucumber,Lemon Balm,TRUE,,,,
Dill,Lemon Balm,TRUE,,,,
Eggplant,Lemon Balm,TRUE,,,,
Fennel,Lemon Balm,TRUE,,,,
Marigold,Lemon Balm,TRUE,,,,
Fruit Trees,Lemon Balm,FALSE,,,,
Garlic,Lemon Balm,FALSE,,,,
Gooseberry,Lemon Balm,TRUE,,,,
Grape Vine,Lemon Balm,TRUE,,,,
Grass,Lemon Balm,TRUE,,,,
Horseradish,Lemon Balm,TRUE,,,,
Lavender,Lemon Balm,TRUE,,,,
Leeks,Lemon Balm,TRUE,,,,
Lemon Balm,Lemon Balm,TRUE,,,,
Apple,Lettuce,TRUE,,,,
Apricot,Lettuce,TRUE,,,,
Asparagus,Lettuce,TRUE,,,,
Basil,Lettuce,TRUE,,,,
Beans,Lettuce,TRUE,,,,
Broad Beans,Lettuce,TRUE,,,,
Bush Beans,Lettuce,TRUE,,,,
Climbing Beans,Lettuce,TRUE,,,,
Beets,Lettuce,TRUE,,,,
Borage,Lettuce,TRUE,,,,
Broccoli,Lettuce,TRUE,,,,
Brussell Sprouts,Lettuce,TRUE,,,,
Cabbages,Lettuce,TRUE,,,,
Chamomile,Lettuce,TRUE,,,,
Carrots,Lettuce,TRUE,,,,
Cauliflower,Lettuce,FALSE,,,,
Celery,Lettuce,FALSE,,,,
Cherry,Lettuce,TRUE,,,,
Chervil,Lettuce,FALSE,,,,
Chives,Lettuce,TRUE,,,,
Coriander,Lettuce,TRUE,,,,
Corn,Lettuce,TRUE,,,,
Cucumber,Lettuce,TRUE,,,,
Dill,Lettuce,TRUE,,,,
Eggplant,Lettuce,TRUE,,,,
Fennel,Lettuce,TRUE,,,,
Marigold,Lettuce,TRUE,,,,
Fruit Trees,Lettuce,TRUE,,,,
Garlic,Lettuce,TRUE,,,,
Gooseberry,Lettuce,TRUE,,,,
Grape Vine,Lettuce,TRUE,,,,
Grass,Lettuce,TRUE,,,,
Horseradish,Lettuce,TRUE,,,,
Lavender,Lettuce,TRUE,,,,
Leeks,Lettuce,TRUE,,,,
Lemon Balm,Lettuce,TRUE,,,,
Lettuce,Lettuce,TRUE,,,,
Apple,Marjoram,TRUE,,,,
Apricot,Marjoram,TRUE,,,,
Asparagus,Marjoram,TRUE,,,,
Basil,Marjoram,TRUE,,,,
Beans,Marjoram,TRUE,,,,
Broad Beans,Marjoram,TRUE,,,,
Bush Beans,Marjoram,TRUE,,,,
Climbing Beans,Marjoram,TRUE,,,,
Beets,Marjoram,TRUE,,,,
Borage,Marjoram,TRUE,,,,
Broccoli,Marjoram,TRUE,,,,
Brussell Sprouts,Marjoram,TRUE,,,,
Cabbages,Marjoram,TRUE,,,,
Chamomile,Marjoram,TRUE,,,,
Carrots,Marjoram,TRUE,,,,
Cauliflower,Marjoram,TRUE,,,,
Celery,Marjoram,TRUE,,,,
Cherry,Marjoram,TRUE,,,,
Chervil,Marjoram,FALSE,,,,
Chives,Marjoram,TRUE,,,,
Coriander,Marjoram,TRUE,,,,
Corn,Marjoram,TRUE,,,,
Cucumber,Marjoram,TRUE,,,,
Dill,Marjoram,TRUE,,,,
Eggplant,Marjoram,FALSE,,,,
Fennel,Marjoram,FALSE,,,,
Marigold,Marjoram,TRUE,,,,
Fruit Trees,Marjoram,TRUE,,,,
Garlic,Marjoram,TRUE,,,,
Gooseberry,Marjoram,TRUE,,,,
Grape Vine,Marjoram,TRUE,,,,
Grass,Marjoram,TRUE,,,,
Horseradish,Marjoram,TRUE,,,,
Lavender,Marjoram,FALSE,,,,
Leeks,Marjoram,TRUE,,,,
Lemon Balm,Marjoram,FALSE,,,,
Lettuce,Marjoram,TRUE,,,,
Marjoram,Marjoram,TRUE,,,,
Apple,Mints,TRUE,,,,
Apricot,Mints,TRUE,,,,
Asparagus,Mints,TRUE,,,,
Basil,Mints,TRUE,,,,
Beans,Mints,TRUE,,,,
Broad Beans,Mints,TRUE,,,,
Bush Beans,Mints,TRUE,,,,
Climbing Beans,Mints,TRUE,,,,
Beets,Mints,TRUE,,,,
Borage,Mints,TRUE,,,,
Broccoli,Mints,TRUE,,,,
Brussell Sprouts,Mints,TRUE,,,,
Cabbages,Mints,TRUE,,,,
Chamomile,Mints,TRUE,,,,
Carrots,Mints,TRUE,,,,
Cauliflower,Mints,TRUE,,,,
Celery,Mints,TRUE,,,,
Cherry,Mints,TRUE,,,,
Chervil,Mints,TRUE,,,,
Chives,Mints,TRUE,,,,
Coriander,Mints,TRUE,,,,
Corn,Mints,TRUE,,,,
Cucumber,Mints,TRUE,,,,
Dill,Mints,TRUE,,,,
Eggplant,Mints,TRUE,,,,
Fennel,Mints,TRUE,,,,
Marigold,Mints,TRUE,,,,
Fruit Trees,Mints,TRUE,,,,
Garlic,Mints,TRUE,,,,
Gooseberry,Mints,TRUE,,,,
Grape Vine,Mints,TRUE,,,,
Grass,Mints,TRUE,,,,
Horseradish,Mints,TRUE,,,,
Lavender,Mints,TRUE,,,,
Leeks,Mints,TRUE,,,,
Lemon Balm,Mints,TRUE,,,,
Lettuce,Mints,TRUE,,,,
Marjoram,Mints,TRUE,,,,
Mints,Mints,TRUE,,,,
Apple,Mulberry,TRUE,,,,
Apricot,Mulberry,TRUE,,,,
Asparagus,Mulberry,TRUE,,,,
Basil,Mulberry,TRUE,,,,
Beans,Mulberry,TRUE,,,,
Broad Beans,Mulberry,TRUE,,,,
Bush Beans,Mulberry,TRUE,,,,
Climbing Beans,Mulberry,TRUE,,,,
Beets,Mulberry,TRUE,,,,
Borage,Mulberry,TRUE,,,,
Broccoli,Mulberry,TRUE,,,,
Brussell Sprouts,Mulberry,TRUE,,,,
Cabbages,Mulberry,FALSE,,,,
Chamomile,Mulberry,TRUE,,,,
Carrots,Mulberry,TRUE,,,,
Cauliflower,Mulberry,TRUE,,,,
Celery,Mulberry,TRUE,,,,
Cherry,Mulberry,TRUE,,,,
Chervil,Mulberry,FALSE,,,,
Chives,Mulberry,FALSE,,,,
Coriander,Mulberry,TRUE,,,,
Corn,Mulberry,TRUE,,,,
Cucumber,Mulberry,TRUE,,,,
Dill,Mulberry,TRUE,,,,
Eggplant,Mulberry,TRUE,,,,
Fennel,Mulberry,TRUE,,,,
Marigold,Mulberry,TRUE,,,,
Fruit Trees,Mulberry,TRUE,,,,
Garlic,Mulberry,TRUE,,,,
Gooseberry,Mulberry,TRUE,,,,
Grape Vine,Mulberry,TRUE,,,,
Grass,Mulberry,TRUE,,,,
Horseradish,Mulberry,TRUE,,,,
Lavender,Mulberry,TRUE,,,,
Leeks,Mulberry,TRUE,,,,
Lemon Balm,Mulberry,FALSE,,,,
Lettuce,Mulberry,TRUE,,,,
Marjoram,Mulberry,TRUE,,,,
Mints,Mulberry,TRUE,,,,
Mulberry,Mulberry,TRUE,,,,
Apple,Mustard,TRUE,,,,
Apricot,Mustard,TRUE,,,,
Asparagus,Mustard,TRUE,,,,
Basil,Mustard,TRUE,,,,
Beans,Mustard,TRUE,,,,
Broad Beans,Mustard,TRUE,,,,
Bush Beans,Mustard,TRUE,,,,
Climbing Beans,Mustard,TRUE,,,,
Beets,Mustard,TRUE,,,,
Borage,Mustard,TRUE,,,,
Broccoli,Mustard,TRUE,,,,
Brussell Sprouts,Mustard,TRUE,,,,
Cabbages,Mustard,TRUE,,,,
Chamomile,Mustard,TRUE,,,,
Carrots,Mustard,TRUE,,,,
Cauliflower,Mustard,TRUE,,,,
Celery,Mustard,TRUE,,,,
Cherry,Mustard,TRUE,,,,
Chervil,Mustard,TRUE,,,,
Chives,Mustard,TRUE,,,,
Coriander,Mustard,TRUE,,,,
Corn,Mustard,TRUE,,,,
Cucumber,Mustard,TRUE,,,,
Dill,Mustard,TRUE,,,,
Eggplant,Mustard,TRUE,,,,
Fennel,Mustard,TRUE,,,,
Marigold,Mustard,TRUE,,,,
Fruit Trees,Mustard,TRUE,,,,
Garlic,Mustard,TRUE,,,,
Gooseberry,Mustard,TRUE,,,,
Grape Vine,Mustard,TRUE,,,,
Grass,Mustard,TRUE,,,,
Horseradish,Mustard,TRUE,,,,
Lavender,Mustard,TRUE,,,,
Leeks,Mustard,TRUE,,,,
Lemon Balm,Mustard,TRUE,,,,
Lettuce,Mustard,TRUE,,,,
Marjoram,Mustard,TRUE,,,,
Mints,Mustard,TRUE,,,,
Mulberry,Mustard,TRUE,,,,
Mustard,Mustard,TRUE,,,,
Apple,Nasturtiums,TRUE,,,,
Apricot,Nasturtiums,TRUE,,,,
Asparagus,Nasturtiums,TRUE,,,,
Basil,Nasturtiums,FALSE,,,,
Beans,Nasturtiums,TRUE,,,,
Broad Beans,Nasturtiums,TRUE,,,,
Bush Beans,Nasturtiums,TRUE,,,,
Climbing Beans,Nasturtiums,TRUE,,,,
Beets,Nasturtiums,TRUE,,,,
Borage,Nasturtiums,TRUE,,,,
Broccoli,Nasturtiums,FALSE,,,,
Brussell Sprouts,Nasturtiums,TRUE,,,,
Cabbages,Nasturtiums,TRUE,,,,
Chamomile,Nasturtiums,TRUE,,,,
Carrots,Nasturtiums,TRUE,,,,
Cauliflower,Nasturtiums,TRUE,,,,
Celery,Nasturtiums,TRUE,,,,
Cherry,Nasturtiums,TRUE,,,,
Chervil,Nasturtiums,TRUE,,,,
Chives,Nasturtiums,TRUE,,,,
Coriander,Nasturtiums,TRUE,,,,
Corn,Nasturtiums,TRUE,,,,
Cucumber,Nasturtiums,TRUE,,,,
Dill,Nasturtiums,TRUE,,,,
Eggplant,Nasturtiums,TRUE,,,,
Fennel,Nasturtiums,TRUE,,,,
Marigold,Nasturtiums,TRUE,,,,
Fruit Trees,Nasturtiums,TRUE,,,,
Garlic,Nasturtiums,TRUE,,,,
Gooseberry,Nasturtiums,TRUE,,,,
Grape Vine,Nasturtiums,TRUE,,,,
Grass,Nasturtiums,TRUE,,,,
Horseradish,Nasturtiums,TRUE,,,,
Lavender,Nasturtiums,TRUE,,,,
Leeks,Nasturtiums,TRUE,,,,
Lemon Balm,Nasturtiums,FALSE,,,,
Lettuce,Nasturtiums,TRUE,,,,
Marjoram,Nasturtiums,TRUE,,,,
Mints,Nasturtiums,TRUE,,,,
Mulberry,Nasturtiums,TRUE,,,,
Mustard,Nasturtiums,TRUE,,,,
Nasturtiums,Nasturtiums,TRUE,,,,
Apple,Onions,TRUE,,,,
Apricot,Onions,TRUE,,,,
Asparagus,Onions,TRUE,,,,
Basil,Onions,TRUE,,,,
Beans,Onions,TRUE,,,,
Broad Beans,Onions,TRUE,,,,
Bush Beans,Onions,TRUE,,,,
Climbing Beans,Onions,TRUE,,,,
Beets,Onions,TRUE,,,,
Borage,Onions,TRUE,,,,
Broccoli,Onions,TRUE,,,,
Brussell Sprouts,Onions,TRUE,,,,
Cabbages,Onions,TRUE,,,,
Chamomile,Onions,TRUE,,,,
Carrots,Onions,TRUE,,,,
Cauliflower,Onions,TRUE,,,,
Celery,Onions,TRUE,,,,
Cherry,Onions,TRUE,,,,
Chervil,Onions,TRUE,,,,
Chives,Onions,TRUE,,,,
Coriander,Onions,TRUE,,,,
Corn,Onions,TRUE,,,,
Cucumber,Onions,TRUE,,,,
Dill,Onions,TRUE,,,,
Eggplant,Onions,TRUE,,,,
Fennel,Onions,TRUE,,,,
Marigold,Onions,TRUE,,,,
Fruit Trees,Onions,TRUE,,,,
Garlic,Onions,TRUE,,,,
Gooseberry,Onions,TRUE,,,,
Grape Vine,Onions,TRUE,,,,
Grass,Onions,TRUE,,,,
Horseradish,Onions,TRUE,,,,
Lavender,Onions,TRUE,,,,
Leeks,Onions,TRUE,,,,
Lemon Balm,Onions,TRUE,,,,
Lettuce,Onions,TRUE,,,,
Marjoram,Onions,TRUE,,,,
Mints,Onions,TRUE,,,,
Mulberry,Onions,TRUE,,,,
Mustard,Onions,TRUE,,,,
Nasturtiums,Onions,TRUE,,,,
Onions,Onions,TRUE,,,,
Apple,Parsley,TRUE,,,,
Apricot,Parsley,TRUE,,,,
Asparagus,Parsley,TRUE,,,,
Basil,Parsley,TRUE,,,,
Beans,Parsley,TRUE,,,,
Broad Beans,Parsley,TRUE,,,,
Bush Beans,Parsley,TRUE,,,,
Climbing Beans,Parsley,TRUE,,,,
Beets,Parsley,TRUE,,,,
Borage,Parsley,TRUE,,,,
Broccoli,Parsley,TRUE,,,,
Brussell Sprouts,Parsley,TRUE,,,,
Cabbages,Parsley,TRUE,,,,
Chamomile,Parsley,TRUE,,,,
Carrots,Parsley,TRUE,,,,
Cauliflower,Parsley,TRUE,,,,
Celery,Parsley,TRUE,,,,
Cherry,Parsley,TRUE,,,,
Chervil,Parsley,TRUE,,,,
Chives,Parsley,FALSE,,,,
Coriander,Parsley,FALSE,,,,
Corn,Parsley,TRUE,,,,
Cucumber,Parsley,TRUE,,,,
Dill,Parsley,FALSE,,,,
Eggplant,Parsley,TRUE,,,,
Fennel,Parsley,TRUE,,,,
Marigold,Parsley,TRUE,,,,
Fruit Trees,Parsley,TRUE,,,,
Garlic,Parsley,TRUE,,,,
Gooseberry,Parsley,TRUE,,,,
Grape Vine,Parsley,TRUE,,,,
Grass,Parsley,TRUE,,,,
Horseradish,Parsley,TRUE,,,,
Lavender,Parsley,TRUE,,,,
Leeks,Parsley,TRUE,,,,
Lemon Balm,Parsley,TRUE,,,,
Lettuce,Parsley,TRUE,,,,
Marjoram,Parsley,TRUE,,,,
Mints,Parsley,TRUE,,,,
Mulberry,Parsley,TRUE,,,,
Mustard,Parsley,TRUE,,,,
Nasturtiums,Parsley,TRUE,,,,
Onions,Parsley,TRUE,,,,
Parsley,Parsley,TRUE,,,,
Apple,Parsnip,TRUE,,,,
Apricot,Parsnip,TRUE,,,,
Asparagus,Parsnip,TRUE,,,,
Basil,Parsnip,TRUE,,,,
Beans,Parsnip,TRUE,,,,
Broad Beans,Parsnip,TRUE,,,,
Bush Beans,Parsnip,TRUE,,,,
Climbing Beans,Parsnip,TRUE,,,,
Beets,Parsnip,TRUE,,,,
Borage,Parsnip,TRUE,,,,
Broccoli,Parsnip,TRUE,,,,
Brussell Sprouts,Parsnip,TRUE,,,,
Cabbages,Parsnip,TRUE,,,,
Chamomile,Parsnip,TRUE,,,,
Carrots,Parsnip,TRUE,,,,
Cauliflower,Parsnip,TRUE,,,,
Celery,Parsnip,TRUE,,,,
Cherry,Parsnip,TRUE,,,,
Chervil,Parsnip,FALSE,,,,
Chives,Parsnip,FALSE,,,,
Coriander,Parsnip,FALSE,,,,
Corn,Parsnip,FALSE,,,,
Cucumber,Parsnip,TRUE,,,,
Dill,Parsnip,FALSE,,,,
Eggplant,Parsnip,TRUE,,,,
Fennel,Parsnip,TRUE,,,,
Marigold,Parsnip,TRUE,,,,
Fruit Trees,Parsnip,TRUE,,,,
Garlic,Parsnip,TRUE,,,,
Gooseberry,Parsnip,TRUE,,,,
Grape Vine,Parsnip,TRUE,,,,
Grass,Parsnip,TRUE,,,,
Horseradish,Parsnip,TRUE,,,,
Lavender,Parsnip,TRUE,,,,
Leeks,Parsnip,TRUE,,,,
Lemon Balm,Parsnip,TRUE,,,,
Lettuce,Parsnip,FALSE,,,,
Marjoram,Parsnip,TRUE,,,,
Mints,Parsnip,TRUE,,,,
Mulberry,Parsnip,TRUE,,,,
Mustard,Parsnip,TRUE,,,,
Nasturtiums,Parsnip,TRUE,,,,
Onions,Parsnip,TRUE,,,,
Parsley,Parsnip,TRUE,,,,
Parsnip,Parsnip,TRUE,,,,
Apple,Peas,TRUE,,,,
Apricot,Peas,TRUE,,,,
Asparagus,Peas,TRUE,,,,
Basil,Peas,TRUE,,,,
Beans,Peas,FALSE,,,,
Broad Beans,Peas,TRUE,,,,
Bush Beans,Peas,TRUE,,,,
Climbing Beans,Peas,TRUE,,,,
Beets,Peas,TRUE,,,,
Borage,Peas,TRUE,,,,
Broccoli,Peas,TRUE,,,,
Brussell Sprouts,Peas,TRUE,,,,
Cabbages,Peas,TRUE,,,,
Chamomile,Peas,TRUE,,,,
Carrots,Peas,TRUE,,,,
Cauliflower,Peas,TRUE,,,,
Celery,Peas,TRUE,,,,
Cherry,Peas,TRUE,,,,
Chervil,Peas,FALSE,,,,
Chives,Peas,FALSE,,,,
Coriander,Peas,TRUE,,,,
Corn,Peas,TRUE,,,,
Cucumber,Peas,TRUE,,,,
Dill,Peas,TRUE,,,,
Eggplant,Peas,TRUE,,,,
Fennel,Peas,TRUE,,,,
Marigold,Peas,TRUE,,,,
Fruit Trees,Peas,TRUE,,,,
Garlic,Peas,FALSE,,,,
Gooseberry,Peas,FALSE,,,,
Grape Vine,Peas,TRUE,,,,
Grass,Peas,TRUE,,,,
Horseradish,Peas,TRUE,,,,
Lavender,Peas,TRUE,,,,
Leeks,Peas,TRUE,,,,
Lemon Balm,Peas,TRUE,,,,
Lettuce,Peas,TRUE,,,,
Marjoram,Peas,TRUE,,,,
Mints,Peas,TRUE,,,,
Mulberry,Peas,TRUE,,,,
Mustard,Peas,TRUE,,,,
Nasturtiums,Peas,TRUE,,,,
Onions,Peas,TRUE,,,,
Parsley,Peas,TRUE,,,,
Parsnip,Peas,TRUE,,,,
Peas,Peas,TRUE,,,,
Apple,Pennyroyal,TRUE,,,,
Apricot,Pennyroyal,TRUE,,,,
Asparagus,Pennyroyal,TRUE,,,,
Basil,Pennyroyal,TRUE,,,,
Beans,Pennyroyal,TRUE,,,,
Broad Beans,Pennyroyal,TRUE,,,,
Bush Beans,Pennyroyal,TRUE,,,,
Climbing Beans,Pennyroyal,TRUE,,,,
Beets,Pennyroyal,TRUE,,,,
Borage,Pennyroyal,TRUE,,,,
Broccoli,Pennyroyal,TRUE,,,,
Brussell Sprouts,Pennyroyal,TRUE,,,,
Cabbages,Pennyroyal,FALSE,,,,
Chamomile,Pennyroyal,TRUE,,,,
Carrots,Pennyroyal,FALSE,,,,
Cauliflower,Pennyroyal,TRUE,,,,
Celery,Pennyroyal,TRUE,,,,
Cherry,Pennyroyal,TRUE,,,,
Chervil,Pennyroyal,TRUE,,,,
Chives,Pennyroyal,TRUE,,,,
Coriander,Pennyroyal,TRUE,,,,
Corn,Pennyroyal,TRUE,,,,
Cucumber,Pennyroyal,TRUE,,,,
Dill,Pennyroyal,TRUE,,,,
Eggplant,Pennyroyal,TRUE,,,,
Fennel,Pennyroyal,TRUE,,,,
Marigold,Pennyroyal,TRUE,,,,
Fruit Trees,Pennyroyal,TRUE,,,,
Garlic,Pennyroyal,TRUE,,,,
Gooseberry,Pennyroyal,TRUE,,,,
Grape Vine,Pennyroyal,TRUE,,,,
Grass,Pennyroyal,TRUE,,,,
Horseradish,Pennyroyal,TRUE,,,,
Lavender,Pennyroyal,TRUE,,,,
Leeks,Pennyroyal,TRUE,,,,
Lemon Balm,Pennyroyal,TRUE,,,,
Lettuce,Pennyroyal,TRUE,,,,
Marjoram,Pennyroyal,TRUE,,,,
Mints,Pennyroyal,TRUE,,,,
Mulberry,Pennyroyal,TRUE,,,,
Mustard,Pennyroyal,TRUE,,,,
Nasturtiums,Pennyroyal,TRUE,,,,
Onions,Pennyroyal,TRUE,,,,
Parsley,Pennyroyal,TRUE,,,,
Parsnip,Pennyroyal,TRUE,,,,
Peas,Pennyroyal,TRUE,,,,
Pennyroyal,Pennyroyal,TRUE,,,,
Apple,Potato,TRUE,,,,
Apricot,Potato,TRUE,,,,
Asparagus,Potato,TRUE,,,,
Basil,Potato,TRUE,,,,
Beans,Potato,TRUE,,,,
Broad Beans,Potato,TRUE,,,,
Bush Beans,Potato,TRUE,,,,
Climbing Beans,Potato,TRUE,,,,
Beets,Potato,TRUE,,,,
Borage,Potato,TRUE,,,,
Broccoli,Potato,TRUE,,,,
Brussell Sprouts,Potato,TRUE,,,,
Cabbages,Potato,TRUE,,,,
Chamomile,Potato,TRUE,,,,
Carrots,Potato,TRUE,,,,
Cauliflower,Potato,TRUE,,,,
Celery,Potato,TRUE,,,,
Cherry,Potato,TRUE,,,,
Chervil,Potato,TRUE,,,,
Chives,Potato,TRUE,,,,
Coriander,Potato,TRUE,,,,
Corn,Potato,TRUE,,,,
Cucumber,Potato,TRUE,,,,
Dill,Potato,TRUE,,,,
Eggplant,Potato,TRUE,,,,
Fennel,Potato,TRUE,,,,
Marigold,Potato,TRUE,,,,
Fruit Trees,Potato,TRUE,,,,
Garlic,Potato,TRUE,,,,
Gooseberry,Potato,TRUE,,,,
Grape Vine,Potato,TRUE,,,,
Grass,Potato,TRUE,,,,
Horseradish,Potato,TRUE,,,,
Lavender,Potato,TRUE,,,,
Leeks,Potato,TRUE,,,,
Lemon Balm,Potato,TRUE,,,,
Lettuce,Potato,FALSE,,,,
Marjoram,Potato,TRUE,,,,
Mints,Potato,TRUE,,,,
Mulberry,Potato,TRUE,,,,
Mustard,Potato,TRUE,,,,
Nasturtiums,Potato,TRUE,,,,
Onions,Potato,TRUE,,,,
Parsley,Potato,TRUE,,,,
Parsnip,Potato,TRUE,,,,
Peas,Potato,TRUE,,,,
Pennyroyal,Potato,TRUE,,,,
Potato,Potato,TRUE,,,,
Apple,Pumpkin,TRUE,,,,
Apricot,Pumpkin,TRUE,,,,
Asparagus,Pumpkin,TRUE,,,,
Basil,Pumpkin,TRUE,,,,
Beans,Pumpkin,TRUE,,,,
Broad Beans,Pumpkin,TRUE,,,,
Bush Beans,Pumpkin,TRUE,,,,
Climbing Beans,Pumpkin,TRUE,,,,
Beets,Pumpkin,TRUE,,,,
Borage,Pumpkin,TRUE,,,,
Broccoli,Pumpkin,TRUE,,,,
Brussell Sprouts,Pumpkin,TRUE,,,,
Cabbages,Pumpkin,TRUE,,,,
Chamomile,Pumpkin,TRUE,,,,
Carrots,Pumpkin,TRUE,,,,
Cauliflower,Pumpkin,TRUE,,,,
Celery,Pumpkin,TRUE,,,,
Cherry,Pumpkin,TRUE,,,,
Chervil,Pumpkin,TRUE,,,,
Chives,Pumpkin,TRUE,,,,
Coriander,Pumpkin,TRUE,,,,
Corn,Pumpkin,TRUE,,,,
Cucumber,Pumpkin,TRUE,,,,
Dill,Pumpkin,TRUE,,,,
Eggplant,Pumpkin,TRUE,,,,
Fennel,Pumpkin,TRUE,,,,
Marigold,Pumpkin,TRUE,,,,
Fruit Trees,Pumpkin,TRUE,,,,
Garlic,Pumpkin,TRUE,,,,
Gooseberry,Pumpkin,TRUE,,,,
Grape Vine,Pumpkin,TRUE,,,,
Grass,Pumpkin,TRUE,,,,
Horseradish,Pumpkin,TRUE,,,,
Lavender,Pumpkin,TRUE,,,,
Leeks,Pumpkin,TRUE,,,,
Lemon Balm,Pumpkin,TRUE,,,,
Lettuce,Pumpkin,TRUE,,,,
Marjoram,Pumpkin,TRUE,,,,
Mints,Pumpkin,TRUE,,,,
Mulberry,Pumpkin,TRUE,,,,
Mustard,Pumpkin,TRUE,,,,
Nasturtiums,Pumpkin,TRUE,,,,
Onions,Pumpkin,TRUE,,,,
Parsley,Pumpkin,TRUE,,,,
Parsnip,Pumpkin,TRUE,,,,
Peas,Pumpkin,TRUE,,,,
Pennyroyal,Pumpkin,TRUE,,,,
Potato,Pumpkin,FALSE,,,,
Pumpkin,Pumpkin,TRUE,,,,
Apple,Radish,TRUE,,,,
Apricot,Radish,TRUE,,,,
Asparagus,Radish,TRUE,,,,
Basil,Radish,TRUE,,,,
Beans,Radish,TRUE,,,,
Broad Beans,Radish,TRUE,,,,
Bush Beans,Radish,TRUE,,,,
Climbing Beans,Radish,TRUE,,,,
Beets,Radish,TRUE,,,,
Borage,Radish,TRUE,,,,
Broccoli,Radish,TRUE,,,,
Brussell Sprouts,Radish,TRUE,,,,
Cabbages,Radish,TRUE,,,,
Chamomile,Radish,TRUE,,,,
Carrots,Radish,TRUE,,,,
Cauliflower,Radish,TRUE,,,,
Celery,Radish,TRUE,,,,
Cherry,Radish,TRUE,,,,
Chervil,Radish,TRUE,,,,
Chives,Radish,TRUE,,,,
Coriander,Radish,TRUE,,,,
Corn,Radish,TRUE,,,,
Cucumber,Radish,TRUE,,,,
Dill,Radish,TRUE,,,,
Eggplant,Radish,TRUE,,,,
Fennel,Radish,TRUE,,,,
Marigold,Radish,TRUE,,,,
Fruit Trees,Radish,TRUE,,,,
Garlic,Radish,TRUE,,,,
Gooseberry,Radish,TRUE,,,,
Grape Vine,Radish,TRUE,,,,
Grass,Radish,TRUE,,,,
Horseradish,Radish,TRUE,,,,
Lavender,Radish,TRUE,,,,
Leeks,Radish,TRUE,,,,
Lemon Balm,Radish,TRUE,,,,
Lettuce,Radish,FALSE,,,,
Marjoram,Radish,TRUE,,,,
Mints,Radish,TRUE,,,,
Mulberry,Radish,TRUE,,,,
Mustard,Radish,TRUE,,,,
Nasturtiums,Radish,TRUE,,,,
Onions,Radish,TRUE,,,,
Parsley,Radish,TRUE,,,,
Parsnip,Radish,TRUE,,,,
Peas,Radish,TRUE,,,,
Pennyroyal,Radish,TRUE,,,,
Potato,Radish,TRUE,,,,
Pumpkin,Radish,TRUE,,,,
Radish,Radish,TRUE,,,,
Apple,Raspberry,TRUE,,,,
Apricot,Raspberry,TRUE,,,,
Asparagus,Raspberry,TRUE,,,,
Basil,Raspberry,TRUE,,,,
Beans,Raspberry,TRUE,,,,
Broad Beans,Raspberry,TRUE,,,,
Bush Beans,Raspberry,TRUE,,,,
Climbing Beans,Raspberry,TRUE,,,,
Beets,Raspberry,TRUE,,,,
Borage,Raspberry,TRUE,,,,
Broccoli,Raspberry,TRUE,,,,
Brussell Sprouts,Raspberry,TRUE,,,,
Cabbages,Raspberry,TRUE,,,,
Chamomile,Raspberry,TRUE,,,,
Carrots,Raspberry,TRUE,,,,
Cauliflower,Raspberry,TRUE,,,,
Celery,Raspberry,TRUE,,,,
Cherry,Raspberry,TRUE,,,,
Chervil,Raspberry,TRUE,,,,
Chives,Raspberry,TRUE,,,,
Coriander,Raspberry,TRUE,,,,
Corn,Raspberry,TRUE,,,,
Cucumber,Raspberry,TRUE,,,,
Dill,Raspberry,TRUE,,,,
Eggplant,Raspberry,TRUE,,,,
Fennel,Raspberry,TRUE,,,,
Marigold,Raspberry,TRUE,,,,
Fruit Trees,Raspberry,TRUE,,,,
Garlic,Raspberry,TRUE,,,,
Gooseberry,Raspberry,TRUE,,,,
Grape Vine,Raspberry,TRUE,,,,
Grass,Raspberry,TRUE,,,,
Horseradish,Raspberry,TRUE,,,,
Lavender,Raspberry,TRUE,,,,
Leeks,Raspberry,TRUE,,,,
Lemon Balm,Raspberry,TRUE,,,,
Lettuce,Raspberry,TRUE,,,,
Marjoram,Raspberry,TRUE,,,,
Mints,Raspberry,TRUE,,,,
Mulberry,Raspberry,TRUE,,,,
Mustard,Raspberry,TRUE,,,,
Nasturtiums,Raspberry,TRUE,,,,
Onions,Raspberry,TRUE,,,,
Parsley,Raspberry,TRUE,,,,
Parsnip,Raspberry,TRUE,,,,
Peas,Raspberry,TRUE,,,,
Pennyroyal,Raspberry,TRUE,,,,
Potato,Raspberry,FALSE,,,,
Pumpkin,Raspberry,TRUE,,,,
Radish,Raspberry,TRUE,,,,
Raspberry,Raspberry,TRUE,,,,
Apple,Rosemary,TRUE,,,,
Apricot,Rosemary,TRUE,,,,
Asparagus,Rosemary,TRUE,,,,
Basil,Rosemary,TRUE,,,,
Beans,Rosemary,TRUE,,,,
Broad Beans,Rosemary,TRUE,,,,
